stopwords	Длина строки
Доброго воскресного утра	24
Доброго времени суток	21
Добрый здравствуйте	19
Добрый деньповторяю	19
Доброе время суток	18
Добрый деньвопрос	17
Добрый деньДобрый	17
Доброго здоровья	16
Добрый деньЕлена	16
Добрый денькакие	16
Доброго здравия	15
Доброго времени	15
Доброго времена	15
Добрый денькуда	15
Добрыйдень Есть	15
Добрый день1как	15
Добрый деньдень	15
С добрым утром	14
Доброго вечера	14
деньПодскажите	14
Доброе времени	14
Доброе утречко	14
Добрый день1Мы	14
Добрый деньКак	14
Добрый вДобрый	14
Добрый деньГде	14
Добрый деньчто	14
Доброло вечера	14
Добрейший день	14
Добрывйц день	13
Доброый вечер	13
Добрый Вопрос	13
Добрый вечер 	13
Добрый вечер1	13
Добрый вечерю	13
Добрый1 вечер	13
Добрый весчер	13
Доброе уттро1	13
Доброго время	13
Добрый двечер	13
Добрый деьПри	13
Добрывый день	13
Добритый день	13
Добрый вечере	13
Добрый деньип	13
Добрый веечер	13
Добрый вечер	12
Здравствуйте	12
Добрый вечкр	12
Добрыйф день	12
Добрый дщень	12
Доброе время	12
Добрыцй день	12
Добрый деньЁ	12
Доброе утрро	12
Доброго утра	12
Доброе утро1	12
Добрый день1	12
Добрый вечеп	12
Добрый денть	12
Доброе уторо	12
Добрый деньт	12
Добрыйц день	12
Добрый день?	12
Добрый день/	12
Добры й день	12
Доброе уутро	12
Добрый день 	12
Добрый деньэ	12
Добрый джень	12
Добрыый день	12
Добрый деень	12
Добрый деньб	12
Добрый деньь	12
Добрый ждень	12
Добрый1 день	12
Добрыйвечер1	12
Добрый1вечер	12
Добрый веечр	12
Добрый вдень	12
Добрыйпвечер	12
Доброе утрор	12
Добрвй вечер	12
Добрый денгь	12
Добрый ддень	12
Добрый весер	12
Добрый деньй	12
Добрый днень	12
Добрый ден6ь	12
Добрый денья	12
Доброле утро	12
Добрый денег	12
Добрыфй день	12
Добрйый день	12
Добрый деньЮ	12
Доброго дгня	12
Добрый депнь	12
Добрыйм день	12
Добрый вычер	12
Добрыйй день	12
Добрыйт день	12
Добрый декнь	12
Добрый дкньЁ	12
Добрывй день	12
Добры2й день	12
Доброго дняУ	12
Добрый де6нь	12
Добрый дкень	12
Добрый деньв	12
Добрый веяер	12
Добрый2 день	12
Доброго дняю	12
Добрпый день	12
Добрый день0	12
Добрый денеь	12
Доброго всем	12
Доброе утро0	12
Добрый дениь	12
Добры йвечер	12
Добрый вевер	12
Добрый деннь	12
Добрый вечар	12
Доброй вечер	12
Добрый день7	12
Добрый ыечер	12
Доброго дняя	12
Добррый день	12
Добрый денль	12
Добрыйь день	12
Добрый дкент	12
Добрвый день	12
Доброе утроЙ	12
Доброый день	12
Добрый лдень	12
Добрый идень	12
Доброе утро	11
Добрый день	11
Доброго дня	11
Добрый дени	11
Добры йдень	11
Добры вечер	11
Доброго Как	11
Добрый жень	11
Добрый дегь	11
Добрый дент	11
Добрвй день	11
Добрый дено	11
Добрый утро	11
Добрым день	11
Добрый ечер	11
Доброе день	11
Добрыйтдень	11
Доброй ночи	11
Добрый лень	11
Добрsй день	11
Добрйы день	11
Добрый денб	11
Добры денть	11
Добрые день	11
Доброе уиро	11
Добрых день	11
Добрый1день	11
Добрый тень	11
Добрый веер	11
Добрый пень	11
Добрый еднь	11
Доброе утор	11
Добрый деь1	11
Добрый дннь	11
Добрй вечер	11
Добрый ltym	11
Добрый ночи	11
Доброго вам	11
Доброй нови	11
Добрай день	11
Добрыйф ден	11
Добрый деть	11
Добрыц день	11
Добрый дань	11
Добрый денm	11
Добрій день	11
Добрый вече	11
Добрый днеь	11
Добрый дкнь	11
Добрвц день	11
Добрый вечр	11
Доброе уьро	11
Доброго все	11
Добрый деню	11
Доброй день	11
Доброу утро	11
Добрый Как	10
Доброго ня	10
Добрыйдень	10
Доброе уро	10
Добры день	10
Добрй день	10
Добрый днь	10
Добрый деь	10
Добрый ден	10
Доброу тро	10
Добро утро	10
Добрый час	10
Добрыйден1	10
Добрый ень	10
Доброгодня	10
Доброг дня	10
Доброе утр	10
Доброеутро	10
Добрый дже	10
Добре утро	10
Доброй ноч	10
Добрый дке	10
Доброе дня	10
Добрый лен	10
Добр вечер	10
Добрый де	9
Добр утро	9
Добр день	9
Добрый За	9
Добрый жС	9
Добрый дн	9
Доброе у	8
Добрый Д	8
Добрый в	8
Добрый а	8
Добрый р	8
Доброго	7
вДобрый	7
Добрый1	7
Добры й	7
Добровы	7
Привет	6
Добрый	6
Доброе	6
Доброй	6
Д день	5
Добрв	5
Добры	5
Добр	4
дд	2
